rank,broker_name,crd,pfof_equity_usd,pfof_options_usd,pfof_total_usd,options_mix_pct,market_order_pct,limit_order_pct,internalization_rate,top_internalizer,top_internalizer_pct,is_zero_pfof,is_abr,tags,note,xml_filename
1,Charles Schwab,5393,91214812.86,116964318.23,208179131.09,56.2,25.2,65.3,100.0,CITADEL SECURITIES LLC,36.9,False,False,options_heavy|active_trader,,5393_606_NMS_2026_Q1_CHAS_V1_20260429.xml
2,"Robinhood Securities, LLC",287900,54755019.08,119638868.18,174393887.26,68.6,40.9,51.3,100.0,CITADEL SECURITIES LLC,41.8,False,False,options_heavy|active_trader,,287900_606_NMS_2026_Q1_V1_20260430.xml
3,Robinhood Financial LLC,165998,43804015.24,95711094.54,139515109.78,68.6,41.1,50.9,100.0,CITADEL SECURITIES LLC,41.8,False,False,options_heavy|active_trader,,165998_606_NMS_2026_Q1_V1_20260430.xml
4,Morgan Stanley Smith Barney LLC,149777,29074725.25,28203470.02,57278195.27,49.2,53.4,39.3,100.0,Dash/IMC Financial Markets,35.7,False,False,options_heavy,,149777_606_NMS_2026_Q1_MSWM_V1_20260430.xml
5,Webull Financial LLC,289063,14058665.75,27490758.36,41549424.11,66.2,18.5,68.9,100.0,CITADEL SECURITIES LLC,37.0,False,False,options_heavy|active_trader,,289063_606_NMS_2026_Q1_WBUL_V1_20260430.xml
6,FIDELITY BROKERAGE SERVICES LLC,7784,-42754.0,25590455.0,25547701.0,100.2,52.1,44.4,100.0,Citadel Securities LLC,32.8,False,False,options_heavy,,7784_606_NMS_2026_Q1_V1_20260430.xml
7,FUTU CLEARING INC.,298769,2866773.9,10390218.83,13256992.73,78.4,4.9,91.1,100.0,CITADEL SECURITIES LLC,39.9,False,False,options_heavy|active_trader,,298769_606_NMS_2026_Q1_FUTU_V1_20260429.xml
8,APEX Clearing,13071,6476562.2,3870721.77,10347283.97,37.4,30.4,63.0,100.0,"Virtu Americas, LLC",33.9,False,False,active_trader,,13071_606_NMS_2026_Q1_APEX_V1_20260429.xml
9,APEX Clearing,7320,6476562.2,3870721.77,10347283.97,37.4,30.4,63.0,100.0,"Virtu Americas, LLC",33.9,False,False,active_trader,,7320_606_NMS_2026_Q1_V1_20260430.xml
10,Tradestation Securities,39473,3931306.25,4269709.17,8201015.42,52.1,33.9,43.1,100.0,"Citadel Securities, LLC",32.2,False,False,options_heavy,,39473_606_NMS_2026_Q1_TRAD_V1_20260423.xml
11,Tastytrade Inc,277027,2567935.21,5121639.44,7689574.65,66.6,21.4,66.8,100.0,CITADEL SECURITIES LLC,41.2,False,False,options_heavy|active_trader,,277027_606_NMS_2026_Q1_TWTT_V1_20260430.xml
