venue_name,mic,equity_pfof_usd,options_pfof_usd,total_pfof_received_usd,market_share_pct,broker_count,exclusive_broker_count
CITADEL SECURITIES LLC,,99838483.78,176185309.34,276023793.12,38.23,65,2
Jane Street Capital,,44585776.27,66470247.87,111056024.14,15.38,36,0
Dash/IMC Financial Markets,,-18931.33,103907231.71,103888300.38,14.39,35,0
"Virtu Americas, LLC",,57250762.0,0.0,57250762.0,7.93,59,4
Global Execution Brokers LP,,0.0,33350881.69,33350881.69,4.62,27,0
Hudson River Trading (HRT),,32775582.86,0.0,32775582.86,4.54,30,0
"Wolverine Execution Services, LLC",,0.0,22982825.09,22982825.09,3.18,37,0
"G1 Execution Services, LLC",,22680649.07,0.0,22680649.07,3.14,31,0
"Global Execution Brokers, LP",,0.0,16320316.72,16320316.72,2.26,7,0
CITADEL SECURITIES LLC,CDRG,374023.32,7946442.36,8320465.68,1.15,117,4
"Two Sigma Securities, LLC",,7800368.38,0.0,7800368.38,1.08,32,1
NASDAQ OMX PHLX,XPHL,0.0,7593308.66,7593308.66,1.05,3,0
"JANE STREET CAPITAL, LLC",JNST,111921.46,6402643.66,6514565.12,0.9,102,0
"GLOBAL EXECUTION BROKERS, LP",GEBB,0.0,5215986.43,5215986.43,0.72,39,0
DASH FINANCIAL OPTION ATS,DASH,-7011.7,3831804.93,3824793.23,0.53,80,0
GTS SECURITIES LLC,,3671218.72,0.0,3671218.72,0.51,27,0
"Citadel Securities, LLC",,1887708.02,1696203.32,3583911.34,0.5,5,0
Citadel Securities LLC,,2098892.44,516895.2,2615787.64,0.36,2,0
MIAX Sapphire,MIHI,0.0,2523764.0,2523764.0,0.35,3,0
"Jane Street Capital, LLC",,1594160.69,284677.8,1878838.49,0.26,2,0
JANE,,129056.78,973024.92,1102081.7,0.15,1,0
LAMPOST CAPITAL LC,LAMP,1009388.54,0.0,1009388.54,0.14,3,0
Dash Financial,,0.0,960445.12,960445.12,0.13,2,0
HRT FINANCIAL LP,HRTF,808976.65,0.0,808976.65,0.11,106,0
"Citadel Securities ""LITE""",CDED,801497.0,0.0,801497.0,0.11,4,0
"WOLVERINE EXECUTION SERV, LLC",WEXX,0.0,719611.8,719611.8,0.1,84,0
Dash Financial Technologies,,0.0,579106.19,579106.19,0.08,3,0
"Matrix Executions, LLC",,0.0,459405.29,459405.29,0.06,6,0
Apex Clearing Corporation,,449391.35,0.0,449391.35,0.06,1,0
