exchange_name,mic,avg_order_flow_pct,pfof_paid_usd,broker_count
NYSE ARCA OPTIONS,ARCO,1.03,-1195865.31,16
"Cboe Exchange, Inc.",XCBO,1.02,4129794.84,25
"INTERNATIONAL SECURITIES EXCHANGE, LLC",XISX,0.52,-868525.71,21
"BOX Options Exchange, LLC",XBOX,0.45,3479724.19,25
NASDAQ OPTIONS MARKET,XNDQ,0.37,-2757328.24,9
Miami International Securities Exchange,XMIO,0.3,692218.32,20
CBOE EDGX OPTIONS EXCHANGE,EDGO,0.19,84628.54,14
"Cboe BZX Exchange, Inc.",BATS,0.18,-1419220.54,8
"ISE MERCURY, LLC",MCRY,0.15,2035770.44,14
CBOE BZX OPTIONS EXCHANGE,BATO,0.09,-56894.89,10
ISE GEMINI EXCHANGE,GMNI,0.08,-325419.58,12
MIAX PEARL,MPRL,0.06,-1141000.66,9
CBOE EDGX OPTIONS EXCHANGE,EDGX,0.05,-494.14,4
"MIAX SAPPHIRE, LLC",SPHR,0.05,48892.61,9
NASDAQ OMX BX Options,XBXO,0.04,80.83,8
NYSE Arca,ARCX,0.03,-572664.14,3
MEMX LLC EQUITIES,MEMX,0.01,0.0,3
NASDAQ - ALL MARKETS,XNAS,0.0,0.0,1
"NEW YORK STOCK EXCHANGE, INC.",XNYS,0.0,0.0,1
INVESTORS EXCHANGE,IEXG,0.0,0.0,1
"NYSE CHICAGO, INC.",XCHI,0.0,0.0,1
CBOE EDGA U.S. EQUITIES EXCHANGE,EDGA,0.0,0.0,1
