broker_name,crd,pfof_total_usd,CITADEL SECURITIES LLC,Jane Street Capital,Dash/IMC Financial Markets,"Virtu Americas, LLC",Global Execution Brokers LP,Hudson River Trading (HRT),"Wolverine Execution Services, LLC","G1 Execution Services, LLC","Global Execution Brokers, LP",CITADEL SECURITIES LLC
Charles Schwab,5393,208179131.09,0.0,11.7,23.3,17.1,11.0,18.2,25.6,5.6,0.0,0.0
"Robinhood Securities, LLC",287900,174393887.26,0.0,14.4,27.5,36.6,0.0,7.9,9.2,11.2,9.2,0.0
Robinhood Financial LLC,165998,139515109.78,0.0,14.4,27.5,36.3,0.0,8.0,9.2,11.3,9.1,0.0
Morgan Stanley Smith Barney LLC,149777,57278195.27,0.0,9.1,35.7,9.5,11.6,17.7,22.0,11.6,0.0,0.0
Webull Financial LLC,289063,41549424.11,0.0,22.1,28.0,17.3,15.6,9.0,9.3,0.0,0.0,0.0
FIDELITY BROKERAGE SERVICES LLC,7784,25547701.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9
FUTU CLEARING INC.,298769,13256992.73,0.0,25.2,11.5,14.6,0.0,0.0,18.9,0.0,20.0,0.0
APEX Clearing,13071,10347283.97,0.0,19.0,18.2,33.9,8.5,6.3,13.6,0.0,0.0,0.0
APEX Clearing,7320,10347283.97,0.0,19.0,18.2,33.9,8.5,6.3,13.6,0.0,0.0,0.0
Tradestation Securities,39473,8201015.42,0.0,14.4,17.7,7.9,19.5,20.3,12.2,21.7,0.0,0.0
Tastytrade Inc,277027,7689574.65,0.0,17.8,32.9,8.9,0.0,27.4,0.0,15.2,8.3,0.0
TradeUP Securities Inc,18483,6751437.34,0.0,16.3,30.3,0.0,0.0,0.4,7.7,0.0,0.0,0.0
Alpaca Securities LLC,288202,6334379.32,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0
FIRSTRADE SECURITIES INC.,16843,2342706.72,0.0,0.0,14.5,34.1,0.0,0.0,38.0,0.0,0.0,0.0
"Atomic Vaults Securities, LLC",317194,2196462.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Spiderrock EXS, LLC",148743,2014096.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOFI,151717,1131175.56,0.0,14.9,0.0,25.1,18.7,18.5,7.7,7.3,0.0,0.0
GTN Americas,315499,1064293.71,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0
Ally Invest Securities LLC,136131,1007259.88,0.0,0.0,21.4,28.8,17.9,0.0,34.7,23.1,0.0,0.0
TradeZero,282940,554463.26,0.0,0.0,67.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0
Lime Trading Corp,11826,515754.92,0.0,0.0,39.8,17.9,0.0,0.0,39.5,0.0,0.0,0.0
