broker_name,crd,month,pfof_equity_usd,pfof_options_usd,pfof_total_usd,mom_change_pct
LGNT,117176,1,58236.0,9796.89,68032.89,
LGNT,117176,2,35480.2,8651.78,44131.98,-35.1
LGNT,117176,3,44825.67,7509.26,52334.93,18.6
WALL STREET ACCESS,10012,1,779.15,-211.32,567.83,
WALL STREET ACCESS,10012,2,669.11,-14.16,654.95,15.3
WALL STREET ACCESS,10012,3,569.9,-493.77,76.13,-88.4
Lime Trading Corp,11826,1,154195.0,4420.61,158615.61,
Lime Trading Corp,11826,2,163486.0,6867.92,170353.92,7.4
Lime Trading Corp,11826,3,176218.38,10567.01,186785.39,9.6
"Cabrera Capital Markets, Inc.",10081,1,0,0,0,
"Cabrera Capital Markets, Inc.",10081,2,0,0,0,
"Cabrera Capital Markets, Inc.",10081,3,0,0,0,
PLANMEMBER SECURITIES CORP,11869,1,0.0,0.0,0.0,
PLANMEMBER SECURITIES CORP,11869,2,0.0,0.0,0.0,
PLANMEMBER SECURITIES CORP,11869,3,0.0,0.0,0.0,
AXOS,10083,1,58236.0,9796.89,68032.89,
AXOS,10083,2,35480.2,8651.78,44131.98,-35.1
AXOS,10083,3,44825.67,7509.26,52334.93,18.6
Themis Trading LLC,120116,1,0,0,0,
Themis Trading LLC,120116,2,0,0,0,
Themis Trading LLC,120116,3,0,0,0,
MIDWESTERN SECURITIES TRADING,101080,1,0.0,0,0.0,
MIDWESTERN SECURITIES TRADING,101080,2,0.0,0,0.0,
MIDWESTERN SECURITIES TRADING,101080,3,0.0,0,0.0,
Maxim Group LLC,120708,1,9475.76,18163.9,27639.66,
Maxim Group LLC,120708,2,5683.8,2294.8,7978.6,-71.1
Maxim Group LLC,120708,3,4800.21,23243.1,28043.31,251.5
Cannacord Genuity Inc.,1020,1,0.0,-582.2,-582.2,
Cannacord Genuity Inc.,1020,2,-3.62,-776.39,-780.01,
Cannacord Genuity Inc.,1020,3,-12.33,-670.91,-683.24,
COAK,125334,1,0,0,0,
COAK,125334,2,0,0,0,
COAK,125334,3,0,0,0,
"York Stockbrokers, Inc.",102740,1,-10.0,0,-10.0,
"York Stockbrokers, Inc.",102740,2,-19.0,0,-19.0,
"York Stockbrokers, Inc.",102740,3,-20.0,0,-20.0,
Wolverine Execution Services,120719,1,0.0,-2845696.28,-2845696.28,
Wolverine Execution Services,120719,2,0.0,-2792103.3,-2792103.3,
Wolverine Execution Services,120719,3,0.0,-3024587.23,-3024587.23,
Cetera Advisors LLC,10299,1,0.0,0.0,0.0,
Cetera Advisors LLC,10299,2,0.0,0.0,0.0,
Cetera Advisors LLC,10299,3,0.0,0.0,0.0,
GENW,120894,1,0.0,0.0,0.0,
GENW,120894,2,0.0,0.0,0.0,
GENW,120894,3,0.0,0.0,0.0,
Cetera Financial Specialists LLC,10358,1,0.0,0.0,0.0,
Cetera Financial Specialists LLC,10358,2,0.0,0.0,0.0,
Cetera Financial Specialists LLC,10358,3,0.0,0.0,0.0,
Craig-Hallum Capital Group LLC,121395,1,0,0,0,
Craig-Hallum Capital Group LLC,121395,2,0,0,0,
Craig-Hallum Capital Group LLC,121395,3,0.0,0,0.0,
"RBC SECURITIES, INC.",103705,1,0.0,0.0,0.0,
"RBC SECURITIES, INC.",103705,2,0.0,0.0,0.0,
"RBC SECURITIES, INC.",103705,3,0.0,0.0,0.0,
IDB CAPITAL CORP,106032,1,0.0,0.0,0.0,
IDB CAPITAL CORP,106032,2,0.0,0.0,0.0,
IDB CAPITAL CORP,106032,3,0.0,0.0,0.0,
"Gagnon Securities, LLC",103727,1,0,0.0,0.0,
"Gagnon Securities, LLC",103727,2,0,0.0,0.0,
"Gagnon Securities, LLC",103727,3,0,0,0,
"Tradier Brokerage, Inc.",104982,1,1260039.1,422841.61,1682880.71,
"Tradier Brokerage, Inc.",104982,2,1413565.5,410199.89,1823765.39,8.4
"Tradier Brokerage, Inc.",104982,3,1493283.7,429289.84,1922573.54,5.4
